id,city,was_crawled,was_analyzed,channel_title_1,channel_description_1,URL_1,channel_title_2,channel_description_2,URL_2,channel_title_3,channel_description_3,URL_3,channel_title_4,channel_description_4,URL_4,channel_title_5,channel_description_5,URL_5,channel_title_6,channel_description_6,URL_6,channel_title_7,channel_description_7,URL_7,channel_title_8,channel_description_8,URL_8
AT00007025,alachua,yes,yes,"City of Gainesville, Florida",The latest videos from the City of Gainesville's Communications Office.,https://www.youtube.com/channel/UCPRBTIJPBe60dKAtgCHYwpQ,Alachua Chamber,Official City of Alachua Chamber of Commerce YouTube Channel.,https://www.youtube.com/channel/UCIhz2FgFrqhUffJnMtaXnRQ,Vipper Events,"M.A.M is a Free live music concert series presented by The City Of Alachua & Vipper Events spanning from March, April and May ...",https://www.youtube.com/channel/UCLfbj7VvJdp5tRqj0raphRw,,,,,,,,,,,,,,,
AT00007036,alford,yes,yes,Florida Strawberry Festival,"The official channel for the 2024 Florida Strawberry Festival Join us for one sweet time February 29th-March 10th in Plant City, ...",https://www.youtube.com/channel/UCW7Qcb0X8Wgc0-4gc_22K_w,,,,,,,,,,,,,,,,,,,,,
AT00007051,altamonte springs,yes,yes,mycitycollege,"City College is a private college offering degree and diploma programs in healthcare. Programs offered: EMT Diploma, Paramedic ...",https://www.youtube.com/channel/UClrUdJg8r-PBZTAXvffQd7A,,,,,,,,,,,,,,,,,,,,,
AT00007054,altha,yes,yes,Calhoun County Chamber of Commerce,"Video clips and features that highlight Calhoun County, Florida.",https://www.youtube.com/channel/UCrVOkYfG2dbYCtEHKwcQSrg,,,,,,,,,,,,,,,,,,,,,
AT00007062,alva,yes,yes,Moving to Fort Myers Florida,Hi! I'm Jess and I am your 'all things Fort Myers' girl! I've lived in and around Fort Myers my entire life. I lead a group of fantastic ...,https://www.youtube.com/channel/UCEC41M_fE0Dwwx3azh93AnQ,,,,,,,,,,,,,,,,,,,,,
AT00007077,anna maria,yes,yes,Visit Anna Maria Island Florida,This is the ultimate destination for videos and short reels about Anna Maria island.,https://www.youtube.com/channel/UCUMEMmraAb2G7JXKn1Vq-bA,,,,,,,,,,,,,,,,,,,,,
AT00007084,apalachicola,yes,yes,Apalachicola Mardi Gras Parade,"Mardi Gras in the lovely Florida coastal town of Apalachicola has gone to the dogs! On the last Saturday of February, Mardi Gras is ...",https://www.youtube.com/channel/UC2x3g0Rma_NuAgrrNesaMjw,Beach TV - Panama City Beach,"Beach TV is just what it sounds like… a television station dedicated to the beach and beach lifestyle. Beautiful, warm, colorful ...",https://www.youtube.com/channel/UC9-7NK79k1yRDvY6w2QHw8w,,,,,,,,,,,,,,,,,,
AT00007089,apopka,yes,yes,City of Apopka,"City of Apopka Incorporated 1882 Population 58000 Great Place to Work, Live, & Play.",https://www.youtube.com/channel/UCJKvoQzZuYfgsqrtkpjYLCw,First Antioch Apopka MBC,"First Antioch Missionary Baptist Church has been committed to serving the city of Apopka, FL for over 20 years. Follow our ...",https://www.youtube.com/channel/UCqGof4HqNG0zDTYSs3LecDg,,,,,,,,,,,,,,,,,,
AT00007092,arcadia,yes,yes,DesotoCountyFL,,https://www.youtube.com/channel/UCYTbC3Bz0S7F3g8t25ZiYXg,"DeSoto County, Florida - Local Government","DeSoto County, Florida DeSoto County is served by a five-member Board of County Commissioners, representing five districts ...",https://www.youtube.com/channel/UCJhr1CPQlZvNOfJ-qTSboyA,,,,,,,,,,,,,,,,,,
AT00007094,archer,yes,yes,"City of Archer, Florida","Public Information distribution site for the City of Archer, Florida.",https://www.youtube.com/channel/UC1k1SYaMvZ-HM5T9Gs7-t-A,City of Newberry,Official YouTube channel for the City of Newberry. Includes commission meetings and other municipal government meetings.,https://www.youtube.com/channel/UC9MNwMuigm3PeKHacwz2xQQ,"City of Williston, FL","The City of Williston, Florida.",https://www.youtube.com/channel/UCKt1468kcNjBS2AYgOaBsRQ,,,,,,,,,,,,,,,
AT00007108,astatula,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007111,atlantic beach,yes,yes,FloridasHistoricCoast,"Visit St. Augustine, Ponte Vedra and The Beaches... Along Florida's Historic Coast, history comes alive in red-brick lanes leading ...",https://www.youtube.com/channel/UCeDxaNJAL2BHNltCOsKKdTw,,,,,,,,,,,,,,,,,,,,,
AT00007112,atlantis,yes,yes,City of Delray Beach,Delray Beach is a vibrant city with historic charm and award-winning beaches. www.delraybeachfl.gov.,https://www.youtube.com/channel/UCc2j0JhnR8Hx0Hj13RhCJag,City of Boynton Beach,,https://www.youtube.com/channel/UCHxHJQCYf067_qYAmq9lKcw,Dub City Derby Girls,"This is the YouTube channel for Dub City Derby Girls, a Women's Roller Derby team in West Palm Beach, FL. This channel's ...",https://www.youtube.com/channel/UCC5LeMH087fruTrEYzwaZiw,,,,,,,,,,,,,,,
AT00007113,auburndale,yes,yes,City of Auburndale,"The purpose of this Youtube Channel is to enhance customer service, outreach and increase citizen involvement with the ...",https://www.youtube.com/channel/UC1hGizu74_ZR3wpjxbzrfCA,Jarrett-Gordon Ford Winter Haven,"William Richard Jarrett founded the Jarrett-Gordon Ford Automotive Group in 1978 in Dade City, Florida. We're proud that ...",https://www.youtube.com/channel/UC2xMb-7p9AZvv-ZMojJCbgQ,,,,,,,,,,,,,,,,,,
AT00007116,aventura,yes,yes,City of Aventura,"Welcome to Aventura! Situated in the northeastern portion of Miami-Dade County and part of the Miami metropolitan area, ...",https://www.youtube.com/channel/UC14oW1qFcB6kdLwmLGjsU3Q,Aventura Florida Guide,"https://aventurafloridaguide.com/ Aventura Florida Guide is the place where all residents, visitors and all local Business MEET.",https://www.youtube.com/channel/UCDKqEUAWqPAEbsyYqunrABw,City of Hollywood,"The City of Hollywood, Florida's YouTube Channel contains videos produced by the Office of Communications, Marketing and ...",https://www.youtube.com/channel/UCVtTjaaajzCaWsMxHBmTIsA,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",https://www.youtube.com/channel/UCsjG_WlAS2qv-Hic6K16o3w,,,,,,,,,,,,
AT00007118,avon park,yes,yes,City of Avon Park Florida,,https://www.youtube.com/channel/UCwiGvVm5207IwzCqpBHFlCg,City of Avon Park,,https://www.youtube.com/channel/UCvmlLVHQ8a_a1uVosSyCl4Q,,,,,,,,,,,,,,,,,,
AT00007124,baldwin,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007125,bal harbour village,yes,yes,Town of Miami Lakes,"When it incorporated in December 2000, the Town of Miami Lakes became the 31st municipality in Miami-Dade County. Known ...",https://www.youtube.com/channel/UCSCzXpZ82FfA5udLY6WynCQ,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",https://www.youtube.com/channel/UCsjG_WlAS2qv-Hic6K16o3w,The Town of Pembroke Park,,https://www.youtube.com/channel/UC-W-rF_hcfNJAg8D2s6K1NA,"City of Opa-locka, FL",City of Opa-locka's Official YouTube Channel.,https://www.youtube.com/channel/UCOAsS_oXDEida5PdhtJwYuA,,,,,,,,,,,,
AT00007131,bartow,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007133,bascom,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007135,bay harbor islands,yes,yes,"Town of Bay Harbor Islands, Florida",,https://www.youtube.com/channel/UCwiTlvlCwmSmwbH1nSvPkgQ,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",https://www.youtube.com/channel/UCsjG_WlAS2qv-Hic6K16o3w,Town of Miami Lakes,"When it incorporated in December 2000, the Town of Miami Lakes became the 31st municipality in Miami-Dade County. Known ...",https://www.youtube.com/channel/UCSCzXpZ82FfA5udLY6WynCQ,"City of Opa-locka, FL",City of Opa-locka's Official YouTube Channel.,https://www.youtube.com/channel/UCOAsS_oXDEida5PdhtJwYuA,City of Miami Beach TV,"This is the official ""You Tube"" home of the City of Miami Beach, Florida, government. Our communications department is ...",https://www.youtube.com/channel/UCAthAfV8Iqgyl8znznZodlQ,City of Hollywood,"The City of Hollywood, Florida's YouTube Channel contains videos produced by the Office of Communications, Marketing and ...",https://www.youtube.com/channel/UCVtTjaaajzCaWsMxHBmTIsA,City of Miami Gov,The Official City of Miami YouTube Channel.,https://www.youtube.com/channel/UCSsI2UhZkrUHM0HjP9T7wDQ,,,
AT00007138,bay lake,yes,"Expecting ',' delimiter: line 146 column 21 (char 7947)",,,,,,,,,,,,,,,,,,,,,,,,
AT00007150,bell,yes,yes,"Ancient City Tours - St Augustine, FL",,https://www.youtube.com/channel/UCpBInoygQrE1ZKs7CTeLwgg,,,,,,,,,,,,,,,,,,,,,
AT00007152,belleair,yes,yes,"Town of Belleair, Florida",,https://www.youtube.com/channel/UCgRGEAjXgfFLG5U0oLfUBzA,City of Belleair Beach Official,Official City of Belleair Beach.,https://www.youtube.com/channel/UCBTiCuq7bdOfOjqAnHY0zbA,,,,,,,,,,,,,,,,,,
AT00007157,belle glade,yes,yes,Golfing The Villages,The source for all things Golf in The Villages. Hello World and welcome to Golfing The Villages. You have just stumbled upon a ...,https://www.youtube.com/channel/UCsFlXKhyL4hT3MPBoog1-4A,City of Belle Glade,"Welcome to the official YouTube Channel for the City of Belle Glade! 110 Dr M.L.K. Jr Blvd W, Belle Glade, FL 33430 | (561) ...",https://www.youtube.com/channel/UCQLscw9DgrA_zm127VmG9Xg,,,,,,,,,,,,,,,,,,
AT00007159,belle isle,yes,yes,City of Belle Isle Florida,You're now leaving belleislefl.org The City of Belle Isle Web Privacy Policy & Terms of Use does not apply to the site you are ...,https://www.youtube.com/channel/UCGkvDK83WRbsmtxwDRJteVw,Belle Isle Florida,"The City of Belle Isle is a warm and friendly community located in southern Orange County, Florida. Established in 1924, the City ...",https://www.youtube.com/channel/UCPr9I3X2QkxZdTGBYE-1DQg,,,,,,,,,,,,,,,,,,
AT00007160,belleview,yes,yes,Belleview Florida,Welcome to the City of Belleview's YouTube Channel! Get more information on our main website or visit us on Facebook!,https://www.youtube.com/channel/UChJ-OGIhw5AlhlJnxHleNOw,The Villages Florida,"The Villages is an active retirement community located in sunny central Florida. Conceived over 50 years ago, our hometown has ...",https://www.youtube.com/channel/UC4UimES_xLEu_7VPyMrIeKA,,,,,,,,,,,,,,,,,,
AT00007167,beverly beach,yes,yes,City of Palm Coast,Welcome to the official YouTube Channel of the City of Palm Coast - your all-in-one resource for everything Palm Coast. Here you ...,https://www.youtube.com/channel/UCutMtNq3Rm4NzsRYtNMHSAg,,,,,,,,,,,,,,,,,,,,,
AT00007173,biscayne park village,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007181,blountstown,yes,yes,Calhoun County Chamber of Commerce,"Video clips and features that highlight Calhoun County, Florida.",https://www.youtube.com/channel/UCrVOkYfG2dbYCtEHKwcQSrg,,,,,,,,,,,,,,,,,,,,,
AT00007184,boca raton,yes,yes,City of Boca Raton Government,Official City of Boca Raton (Government),https://www.youtube.com/channel/UCl6Odacm7g41cqVb6JRhuSQ,BocaHistory,"The mission and purpose of the Boca Raton Historical Society & Museum is to collect, preserve, and present information and ...",https://www.youtube.com/channel/UC1Ihc7AwhY8mpfJ3oQrjpig,City Highlights,"City Highlights is web series about south Florida cities. Beginning with Delray Beach and Boca Raton, the channel will cover ...",https://www.youtube.com/channel/UCmZcjmxKYh3hAS-PDQObkXA,Boca Raton Police Services Department,"Our police department has 327 men and women, including both law enforcement and civilian employees, dedicated to keeping ...",https://www.youtube.com/channel/UCilpir3rzIcsT_qYvDBc4bQ,Visit Boca Raton,"Welcome to our channel devoted to Boca Raton, Florida! This vibrant city has something to offer for everyone, from nature ...",https://www.youtube.com/channel/UCqdqpXL8P86Tw6IX_rmgG8g,,,,,,,,,
AT00007186,bonifay,yes,yes,First Baptist Panama City,"First Baptist Church Panama City, Fl. 640 Grace Ave. Panama City, FL. 32401 (850) 785-6146 Service times: Sunday Morning ...",https://www.youtube.com/channel/UCxzUlZ81Vfn29vax7ewuefQ,,,,,,,,,,,,,,,,,,,,,
AT00007188,bonita springs,yes,yes,Town of Fort Myers Beach FL,,https://www.youtube.com/channel/UCTF-wEnfKoqXo9WOk-1ev5w,,,,,,,,,,,,,,,,,,,,,
AT00007191,bowling green,yes,yes,Virtual Railfan,"Official channel of Virtual Railfan, Inc. Virtual Railfan is the premiere provider for live train cams all over the United States ...",https://www.youtube.com/channel/UCOIkT9bq-1N2BvrsBjhNlag,,,,,,,,,,,,,,,,,,,,,
