channel_id,channel_title,channel_description,is_official
UCTgORvzgyWjxLUHhWQgALdg,Hipica TV,"La Transmisión Oficial en Español de Gulfstream Park, Santa Anita Park, Laurel Park, Pimlico, Pegasus World Cup y Preakness ...",no
UC0qnz11Nnqk1XWzLVU0F4kg,Univision Orlando,Univision Orlando es el espacio digital de noticias para que los residentes de la comunidad hispana en la entidad encuentren ...,yes
UCMyCvakrpq_gLR5ri6JHM1w,Sid Roth - ¡Es Sobrenatural!,"Sid Roth, un judío creyente en Jesús, es el anfitrión de ¡Es Sobrenatural! TV. Sid ha pasado más de 35 años investigando la ...",no
UCkrKEeEwm9y_ou5YuPEIj1A,BanduMSM,"I'm Bandu I am 19 years old, I was born in Mexico City and I currently live in Florida I make My singing monsters Vids, I use sprite ...",no
UCtrnkBP8QW_PcZadA-A2XyQ,Viviendo en DORAL - FLORIDA ,"Buscas Comprar o Vender en Doral? ⬇️☀️⛱️ Bienvenidos a VIVIENDO EN DORAL FLORIDA, tu guía definitiva para vivir, ...",yes
UCTgORvzgyWjxLUHhWQgALdg,Hipica TV,"La Transmisión Oficial en Español de Gulfstream Park, Santa Anita Park, Laurel Park, Pimlico, Pegasus World Cup y Preakness ...",no
UC0qnz11Nnqk1XWzLVU0F4kg,Univision Orlando,Univision Orlando es el espacio digital de noticias para que los residentes de la comunidad hispana en la entidad encuentren ...,yes
UCMyCvakrpq_gLR5ri6JHM1w,Sid Roth - ¡Es Sobrenatural!,"Sid Roth, un judío creyente en Jesús, es el anfitrión de ¡Es Sobrenatural! TV. Sid ha pasado más de 35 años investigando la ...",yes
UCsK9OUvQODDi56lkNXrHZ1g,MDJ REALTOR ,,no
UCtrnkBP8QW_PcZadA-A2XyQ,Viviendo en DORAL - FLORIDA ,"Buscas Comprar o Vender en Doral? ⬇️☀️⛱️ Bienvenidos a VIVIENDO EN DORAL FLORIDA, tu guía definitiva para vivir, ...",yes
