channel_id,channel_title,channel_description,is_official
UCJUQOjPGrlEtAWWQzu04rgA,"City of Westlake, Florida",,yes
UC0bCUnP5RrkJZUtd3bBz6Kw,WPTV News - FL Palm Beaches and Treasure Coast,"WPTV NewsChannel 5, the NBC affiliate in West Palm Beach, is Florida's top rated television station. WPTV covers Palm Beach ...",yes
UClefiftSY3PtSsyC6Z3juug,Juan Parada,,no
UCIRHUKRuVvm4GAs_pY3xVQw," Wellington Florida, Lifestyle & Real Estate","Talk the Town with Terri is a series about real talk on what's happening in the Town of Wellington, West Palm Beach and Lake ...",no
UCHxHJQCYf067_qYAmq9lKcw,City of Boynton Beach,,no
UCJUQOjPGrlEtAWWQzu04rgA,"City of Westlake, Florida",,no
UCRo-7aWBXKKUK8Sc0l9VkYA,WestLake Businesses,"Visit our City of WestLake, FL resident business owner directory at WestLakeBusinesses.com.",yes
UCjCjFoBPc1AkT7iNJ3UWvTA,LIV South Florida,"This channel is all about LIVing in South Florida, moving to South Florida and relocating to South Florida. What are we ...",no
UC0Uo7O42WlHH7ACCe11_toA,Sky Cove of Westlake,"DREAM HOMES…WITHIN REACH! SKY COVE, LABEL & CO's new single-family home community is in Westlake, the newest, ...",no
UCtN7jUTTB_Qt9EAYV0qKW1Q,Sherece Sapp,"My channel is to connect, help and encourage everyone to live freely while enjoying what you do for a living. I'll discuss ...",no
